"location","context","source","target"
"digcomp.area.1.label","Competence area 1 – label","Information search, evaluation and management","Informatie zoeken, evalueren en beheren"
"digcomp.area.1.description","Competence area 1 – description","To articulate information needs, and to search for, locate and retrieve digital information and content. To judge the relevance of the source and its content in digital environments. To critically evaluate digital sources, content, and processes used to generate them. To store, manage, organise and analyse digital information and data.","Het formuleren van informatiebehoeften en het zoeken naar, vinden en ophalen van digitale informatie en inhoud. Het beoordelen van de relevantie van de bron en de inhoud ervan in digitale omgevingen. Het kritisch evalueren van digitale bronnen, inhoud en de processen die worden gebruikt om deze te genereren. Het opslaan, beheren, organiseren en analyseren van digitale informatie en gegevens."
"digcomp.competence.1.1.label","Competence 1.1 – label","Browsing, searching and filtering information","Browsen, zoeken en filteren van informatie"
"digcomp.competence.1.1.description","Competence 1.1 – description","To articulate information needs, to know how and where to search for information and content in digital environments, and to access and navigate between them. To select appropriate digital tools to create, implement and update searches in digital environments and to be able to distinguish between relevant and irrelevant information and content.","Het formuleren van informatiebehoeften, weten hoe en waar te zoeken naar informatie en inhoud in digitale omgevingen, en hiertoe toegang verkrijgen en ertussen navigeren. Geschikte digitale middelen selecteren om zoekopdrachten in digitale omgevingen te creëren, uit te voeren en bij te werken, en in staat zijn om onderscheid te maken tussen relevante en irrelevante informatie en inhoud."
"digcomp.competence.1.2.label","Competence 1.2 – label","Evaluating information","Informatie evalueren"
"digcomp.competence.1.2.description","Competence 1.2 – description","To assess and compare the credibility and reliability of sources of information and content in digital environments. To interpret and critically evaluate information and content in digital environments, and the processes used to generate them.","De geloofwaardigheid en betrouwbaarheid van informatiebronnen en inhoud in digitale omgevingen beoordelen en vergelijken. Informatie en inhoud in digitale omgevingen, en de processen die worden gebruikt om deze te genereren, interpreteren en kritisch evalueren."
"digcomp.competence.1.3.label","Competence 1.3 – label","Managing information","Informatie beheren"
"digcomp.competence.1.3.description","Competence 1.3 – description","To organise, store and retrieve information and data in digital environments. To collect, process and analyse information and data in structured digital environments.","Het organiseren, opslaan en ophalen van informatie en gegevens in digitale omgevingen. Het verzamelen, verwerken en analyseren van informatie en gegevens in gestructureerde digitale omgevingen."
"digcomp.area.2.label","Competence area 2 – label","Communication and collaboration","Communicatie en samenwerking"
"digcomp.area.2.description","Competence area 2 – description","To interact, share, communicate and collaborate in digital environments while being aware of cultural, generational and other diversity and the features and limitations of digital technologies. To participate in society through digital technologies. To assert one's rights and exercise choice in digital environments. To manage one’s digital presence, identity and reputation.","Interacteren, delen, communiceren en samenwerken in digitale omgevingen, met aandacht voor culturele, generationele en andere diversiteit en de kenmerken en beperkingen van digitale technologieën. Participeren in de samenleving via digitale technologieën. Je rechten opeisen en keuzes maken in digitale omgevingen. Het beheren van je digitale aanwezigheid, identiteit en reputatie."
"digcomp.competence.2.1.label","Competence 2.1 – label","Interacting through and with digital technologies","Interacteren via en met digitale technologieën"
"digcomp.competence.2.1.description","Competence 2.1 – description","To interact through and with a variety of digital technologies, and to use appropriate digital communication for a given context.","Interacteren via en met een verscheidenheid aan digitale technologieën, en passende digitale communicatie gebruiken voor een gegeven context."
"digcomp.competence.2.2.label","Competence 2.2 – label","Sharing through digital technologies","Delen via digitale technologieën"
