"location","context","source","target"
"digcomp.glossary.accessibility.label","Glossary term","Accessibility",""
"digcomp.glossary.accessibility.definition","Glossary definition for Accessibility","Extent to which products, systems, services, environments and facilities can be used by people from a population with the widest range of user needs, characteristics and capabilities to achieve identified goals in identified contexts of use (which includes direct use or use supported by assistive technologies).",""
"digcomp.glossary.ai_system.label","Glossary term","AI system",""
"digcomp.glossary.ai_system.definition","Glossary definition for AI system","A machine-based system designed to operate with varying levels of autonomy, that may exhibit adaptiveness after deployment and that, for explicit or implicit objectives, infers from the input it receives how to generate output, such as predictions, content, recommendations or decisions that can influence physical or virtual environments.",""
"digcomp.glossary.algorithm.label","Glossary term","Algorithm",""
"digcomp.glossary.algorithm.definition","Glossary definition for Algorithm","A formula or set of rules (or procedure, processes, or instructions) for solving a problem or for performing a task. Common examples include decision trees, clustering algorithms, classification algorithms, or regression algorithms.",""
"digcomp.glossary.anonymisation.label","Glossary term","Anonymisation",""
"digcomp.glossary.anonymisation.definition","Glossary definition for Anonymisation","In the General Data Protection Regulation (GDPR, 2018), anonymisation refers to the processing of data with the aim of irreversibly preventing the identification of an individual person.",""
"digcomp.glossary.antivirus_software.label","Glossary term","Antivirus software",""
"digcomp.glossary.antivirus_software.definition","Glossary definition for Antivirus software","A computer program designed to prevent, detect and remove malware. Also referred to as anti-malware.",""
"digcomp.glossary.applicationapp.label","Glossary term","Application/App",""
"digcomp.glossary.applicationapp.definition","Glossary definition for Application/App","A computer program or software application, especially one designed to run on a mobile device such as a smartphone, tablet, or watch.",""
"digcomp.glossary.assistive_technologies.label","Glossary term","Assistive technologies",""
"digcomp.glossary.assistive_technologies.definition","Glossary definition for Assistive technologies","An umbrella term for assistive products and their related systems and services. In DigComp, assistive technologies refer to those used in digital environments. Examples include but are not limited to screen readers, adaptive keyboards, alternative input devices, reading assistants, augmented and alternative communication tools, and electronic magnifiers.",""
"digcomp.glossary.baiting.label","Glossary term","Baiting",""
"digcomp.glossary.baiting.definition","Glossary definition for Baiting","See Social engineering",""
"digcomp.glossary.bias.label","Glossary term","Bias",""
"digcomp.glossary.bias.definition","Glossary definition for Bias","A systematic deviation from a true state. There are different forms of bias, such as the subjective bias of individuals, data and algorithm bias, developer bias and institutionalised biases that are ingrained in the underlying societal context.",""
"digcomp.glossary.big_data.label","Glossary term","Big data",""
"digcomp.glossary.big_data.definition","Glossary definition for Big data","Massive and complex data sets that traditional data management tools cannot handle. Big data can be characterised by large volume, high variety (frequently in unstructured or semi-structured formats), high velocity in generation and processing time, and varying degrees of quality and reliability.",""
"digcomp.glossary.chatbot.label","Glossary term","Chatbot",""
"digcomp.glossary.chatbot.definition","Glossary definition for Chatbot","A computer program designed to simulate conversation with a human, usually over the internet, especially one used to provide information or assistance to the user as part of an automated service.",""
"digcomp.glossary.circular_economy_model.label","Glossary term","Circular economy model",""
"digcomp.glossary.circular_economy_model.definition","Glossary definition for Circular economy model","A system where products and materials are shared, leased, reused, repaired, refurbished and recycled instead of being thrown away.",""
"digcomp.glossary.clickbait.label","Glossary term","Clickbait",""
"digcomp.glossary.clickbait.definition","Glossary definition for Clickbait","A text or a thumbnail link that is designed to attract attention and to entice users to click on that link and view, read, stream or listen to the linked piece of online content. The content is typically deceptive, sensationalised, or otherwise misleading. Also referred to as linkbait.",""
"digcomp.glossary.cloud_services.label","Glossary term","Cloud services",""
"digcomp.glossary.cloud_services.definition","Glossary definition for Cloud services","Infrastructure, platforms, or software that are hosted by third-party providers and made available to users through the internet. All infrastructure, platforms, software, or technologies that users access through the internet without requiring additional software downloads can be considered cloud computing services.",""
"digcomp.glossary.competence_statement.label","Glossary term","Competence statement",""
"digcomp.glossary.competence_statement.definition","Glossary definition for Competence statement","In DigComp 3.0, competence statements are short, concrete and technology-neutral descriptions of the kinds of capabilities that individuals at Basic, Intermediate, Advanced and Highly advanced levels could be expected to know or apply, for each of the 21 competences. These are shown in Section 3 of the DigComp 3.0 framework. Competence statements are based on the DigComp 3.0 learning outcomes in Annex 2 of the DigComp 3.0 framework and contain all of the key content in the learning outcomes.",""
"digcomp.glossary.complex_task.label","Glossary term","Complex (task)",""
"digcomp.glossary.complex_task.definition","Glossary definition for Complex (task)","In DigComp 3.0, the term 'complex' is used in reference to proficiency levels and learning outcomes. In these contexts, a complex task is one which is not well-defined and consists of many different and inter-connected parts, and hence is intricate and not easy to understand or complete. Complexity of a task is often described on the basis of task characteristics - however, the experience and characteristics of an individual undertaking a task is also relevant.",""
"digcomp.glossary.computable_and_non-computable_problems.label","Glossary term","Computable and non-computable problems",""
"digcomp.glossary.computable_and_non-computable_problems.definition","Glossary definition for Computable and non-computable problems","The distinction between computable and non-computable problems relates to computability, i.e. the ability to determine if a specific problem can be solved by a computer, considering factors such as resources, machines, and solvability within practical limits. If a problem can be solved by a computer, it is computable. If it cannot, it is non-computable.",""
"digcomp.glossary.computational_thinking.label","Glossary term","Computational thinking",""
"digcomp.glossary.computational_thinking.definition","Glossary definition for Computational thinking","Computational thinking in DigComp 3.0 is consistent with the definition of the International Computer and Information Literacy Study (ICILS): an individual’s ability to recognise aspects of real-world problems which are appropriate for computational formulation and to evaluate and develop algorithmic solutions to those problems so that the solutions could be operationalised with a computer. In DigComp 3.0, computational thinking is considered a transversal competence, i.e. it relates to and facilitates many of the other DigComp competences such as problem solving, information and data, and content creation.",""
"digcomp.glossary.computer_program.label","Glossary term","Computer program",""
"digcomp.glossary.computer_program.definition","Glossary definition for Computer program","A sequence or set of instructions in a programming language for a computer to execute.",""
"digcomp.glossary.constructive_alignment.label","Glossary term","Constructive alignment",""
"digcomp.glossary.constructive_alignment.definition","Glossary definition for Constructive alignment","An interactive system in which teaching and learning activities and assessment tasks are both aligned to intended learning outcomes and reinforce each other..",""
"digcomp.glossary.copyright.label","Glossary term","Copyright",""
"digcomp.glossary.copyright.definition","Glossary definition for Copyright","A type of intellectual property that protects original works of authorship as soon as an author fixes the work in a tangible form of expression.",""
"digcomp.glossary.creative_commons_licences.label","Glossary term","Creative Commons (licences)",""
"digcomp.glossary.creative_commons_licences.definition","Glossary definition for Creative Commons (licences)","A standardised way to grant permission to use creative work under copyright law. Depending on what the creative work is and how it is to be shared, the creator, whether an individual or an organisation, can choose from among six kinds of Creative Commons licences.",""
"digcomp.glossary.cyber_threat.label","Glossary term","Cyber threat",""
"digcomp.glossary.cyber_threat.definition","Glossary definition for Cyber threat","Any malicious activity aimed at compromising the integrity, confidentiality or availability of digital systems, networks or data.",""
"digcomp.glossary.cyberattack.label","Glossary term","Cyberattack",""
"digcomp.glossary.cyberattack.definition","Glossary definition for Cyberattack","An unauthorised action against computer infrastructure that compromises the confidentiality, integrity, or availability of its content.",""
"digcomp.glossary.cyberbullying.label","Glossary term","Cyberbullying",""
"digcomp.glossary.cyberbullying.definition","Glossary definition for Cyberbullying","Currently (2025), the most widely-cited definition of cyberbullying is an aggressive, intentional act carried out by a group or individual, using electronic forms of contact, repeatedly and over time against a victim who cannot easily defend him or herself.",""
"digcomp.glossary.cybercrime.label","Glossary term","Cybercrime",""
