"location","context","source","target"
"digcomp.glossary.accessibility.label","Glossary term","Accessibility","Toegankelijkheid"
"digcomp.glossary.accessibility.definition","Glossary definition for Accessibility","Extent to which products, systems, services, environments and facilities can be used by people from a population with the widest range of user needs, characteristics and capabilities to achieve identified goals in identified contexts of use (which includes direct use or use supported by assistive technologies).","De mate waarin producten, systemen, diensten, omgevingen en voorzieningen kunnen worden gebruikt door mensen uit een populatie met de breedste scala aan gebruikersbehoeften, kenmerken en capaciteiten om geïdentificeerde doelen te bereiken in geïdentificeerde gebruikscontexten (waaronder direct gebruik of gebruik ondersteund door ondersteunende technologieën)."
"digcomp.glossary.ai_system.label","Glossary term","AI system","AI-systeem"
"digcomp.glossary.ai_system.definition","Glossary definition for AI system","A machine-based system designed to operate with varying levels of autonomy, that may exhibit adaptiveness after deployment and that, for explicit or implicit objectives, infers from the input it receives how to generate output, such as predictions, content, recommendations or decisions that can influence physical or virtual environments.","Een op een machine gebaseerd systeem dat is ontworpen om met verschillende niveaus van autonomie te werken, dat na implementatie aanpassingsvermogen kan vertonen en dat, voor expliciete of impliciete doelstellingen, uit de ontvangen input afleidt hoe output moet worden gegenereerd, zoals voorspellingen, inhoud, aanbevelingen of beslissingen die fysieke of virtuele omgevingen kunnen beïnvloeden."
"digcomp.glossary.algorithm.label","Glossary term","Algorithm","algoritme"
"digcomp.glossary.algorithm.definition","Glossary definition for Algorithm","A formula or set of rules (or procedure, processes, or instructions) for solving a problem or for performing a task. Common examples include decision trees, clustering algorithms, classification algorithms, or regression algorithms.","Een formule of reeks regels (of procedure, processen of instructies) voor het oplossen van een probleem of voor het uitvoeren van een taak. Veelvoorkomende voorbeelden zijn beslisbomen, clusteringalgoritmen, classificatiealgoritmen of regressiealgoritmen."
"digcomp.glossary.anonymisation.label","Glossary term","Anonymisation","Anonimisering"
"digcomp.glossary.anonymisation.definition","Glossary definition for Anonymisation","In the General Data Protection Regulation (GDPR, 2018), anonymisation refers to the processing of data with the aim of irreversibly preventing the identification of an individual person.","In de Algemene Verordening Gegevensbescherming (AVG, 2018) verwijst anonimisering naar de verwerking van gegevens met als doel de identificatie van een individuele persoon onomkeerbaar te voorkomen."
"digcomp.glossary.antivirus_software.label","Glossary term","Antivirus software","Antivirussoftware"
"digcomp.glossary.antivirus_software.definition","Glossary definition for Antivirus software","A computer program designed to prevent, detect and remove malware. Also referred to as anti-malware.","Een computerprogramma ontworpen om malware te voorkomen, te detecteren en te verwijderen. Ook wel anti-malware genoemd."
"digcomp.glossary.applicationapp.label","Glossary term","Application/App","Applicatie/App"
"digcomp.glossary.applicationapp.definition","Glossary definition for Application/App","A computer program or software application, especially one designed to run on a mobile device such as a smartphone, tablet, or watch.","Een computerprogramma of softwareapplicatie, in het bijzonder een programma dat is ontworpen om te draaien op een mobiel apparaat zoals een smartphone, tablet of horloge."
"digcomp.glossary.assistive_technologies.label","Glossary term","Assistive technologies","Hulpmiddelen"
"digcomp.glossary.assistive_technologies.definition","Glossary definition for Assistive technologies","An umbrella term for assistive products and their related systems and services. In DigComp, assistive technologies refer to those used in digital environments. Examples include but are not limited to screen readers, adaptive keyboards, alternative input devices, reading assistants, augmented and alternative communication tools, and electronic magnifiers.","Een overkoepelende term voor hulpmiddelen en de bijbehorende systemen en diensten. In DigComp verwijzen hulpmiddelen naar technologieën die in digitale omgevingen worden gebruikt. Voorbeelden zijn onder andere schermlezers, aangepaste toetsenborden, alternatieve invoerapparaten, leesassistenten, verrijkte en alternatieve communicatiemiddelen en elektronische vergroters."
"digcomp.glossary.baiting.label","Glossary term","Baiting","lokken"
"digcomp.glossary.baiting.definition","Glossary definition for Baiting","See Social engineering","Zie Social engineering"
"digcomp.glossary.bias.label","Glossary term","Bias","vooroordeel"
"digcomp.glossary.bias.definition","Glossary definition for Bias","A systematic deviation from a true state. There are different forms of bias, such as the subjective bias of individuals, data and algorithm bias, developer bias and institutionalised biases that are ingrained in the underlying societal context.","Een systematische afwijking van een werkelijke toestand. Er zijn verschillende vormen van bias, zoals de subjectieve bias van individuen, data- en algoritmebias, de bias van ontwikkelaars en geïnstitutionaliseerde vormen van bias die diepgeworteld zijn in de onderliggende maatschappelijke context."
"digcomp.glossary.big_data.label","Glossary term","Big data","Big data"
"digcomp.glossary.big_data.definition","Glossary definition for Big data","Massive and complex data sets that traditional data management tools cannot handle. Big data can be characterised by large volume, high variety (frequently in unstructured or semi-structured formats), high velocity in generation and processing time, and varying degrees of quality and reliability.","Enorme en complexe datasets die traditionele tools voor gegevensbeheer niet kunnen verwerken. Big data kan worden gekenmerkt door een groot volume, een hoge variëteit (vaak in ongestructureerde of semi-gestructureerde formaten), een hoge snelheid bij het genereren en verwerken, en variërende gradaties van kwaliteit en betrouwbaarheid."
"digcomp.glossary.chatbot.label","Glossary term","Chatbot","chatbot"
"digcomp.glossary.chatbot.definition","Glossary definition for Chatbot","A computer program designed to simulate conversation with a human, usually over the internet, especially one used to provide information or assistance to the user as part of an automated service.","Een computerprogramma ontworpen om een gesprek met een mens te simuleren, meestal via het internet, in het bijzonder een programma dat wordt gebruikt om informatie of hulp te bieden aan de gebruiker als onderdeel van een geautomatiseerde dienst."
"digcomp.glossary.circular_economy_model.label","Glossary term","Circular economy model","circulaire-economie-model"
"digcomp.glossary.circular_economy_model.definition","Glossary definition for Circular economy model","A system where products and materials are shared, leased, reused, repaired, refurbished and recycled instead of being thrown away.","Een systeem waarin producten en materialen worden gedeeld, geleased, hergebruikt, gerepareerd, opgeknapt en gerecycled in plaats van te worden weggegooid."
"digcomp.glossary.clickbait.label","Glossary term","Clickbait","Clickbait"
"digcomp.glossary.clickbait.definition","Glossary definition for Clickbait","A text or a thumbnail link that is designed to attract attention and to entice users to click on that link and view, read, stream or listen to the linked piece of online content. The content is typically deceptive, sensationalised, or otherwise misleading. Also referred to as linkbait.","Een tekst of een thumbnail-link die is ontworpen om de aandacht te trekken en gebruikers te verleiden om op die link te klikken en het gelinkte stuk online inhoud te bekijken, te lezen, te streamen of te beluisteren. De inhoud is doorgaans misleidend, gesensationaliseerd of op andere wijze misleidend. Ook wel linkbait genoemd."
"digcomp.glossary.cloud_services.label","Glossary term","Cloud services","Clouddiensten"
"digcomp.glossary.cloud_services.definition","Glossary definition for Cloud services","Infrastructure, platforms, or software that are hosted by third-party providers and made available to users through the internet. All infrastructure, platforms, software, or technologies that users access through the internet without requiring additional software downloads can be considered cloud computing services.","Infrastructuur, platforms of software die worden gehost door externe providers en via het internet beschikbaar worden gesteld aan gebruikers. Alle infrastructuur, platforms, software of technologieën waartoe gebruikers toegang hebben via het internet zonder dat aanvullende softwaredownloads nodig zijn, kunnen worden beschouwd als cloudcomputingdiensten."
"digcomp.glossary.competence_statement.label","Glossary term","Competence statement","Competentiebeschrijving"
"digcomp.glossary.competence_statement.definition","Glossary definition for Competence statement","In DigComp 3.0, competence statements are short, concrete and technology-neutral descriptions of the kinds of capabilities that individuals at Basic, Intermediate, Advanced and Highly advanced levels could be expected to know or apply, for each of the 21 competences. These are shown in Section 3 of the DigComp 3.0 framework. Competence statements are based on the DigComp 3.0 learning outcomes in Annex 2 of the DigComp 3.0 framework and contain all of the key content in the learning outcomes.","In DigComp 3.0 zijn competentiebeschrijvingen korte, concrete en technologieneutrale beschrijvingen van het soort vaardigheden waarvan verwacht mag worden dat individuen op het basis-, gemiddelde, geavanceerde en zeer geavanceerde niveau ze kennen of toepassen, voor elk van de 21 competenties. Deze worden getoond in Sectie 3 van het DigComp 3.0-raamwerk. Competentiebeschrijvingen zijn gebaseerd op de DigComp 3.0-leerresultaten in Bijlage 2 van het DigComp 3.0-raamwerk en bevatten alle belangrijke inhoud van de leerresultaten."
"digcomp.glossary.complex_task.label","Glossary term","Complex (task)","Complex (taak)"
"digcomp.glossary.complex_task.definition","Glossary definition for Complex (task)","In DigComp 3.0, the term 'complex' is used in reference to proficiency levels and learning outcomes. In these contexts, a complex task is one which is not well-defined and consists of many different and inter-connected parts, and hence is intricate and not easy to understand or complete. Complexity of a task is often described on the basis of task characteristics - however, the experience and characteristics of an individual undertaking a task is also relevant.","In DigComp 3.0 wordt de term 'complex' gebruikt met betrekking tot bekwaamheidsniveaus en leerresultaten. In deze context is een complexe taak een taak die niet goed gedefinieerd is en bestaat uit veel verschillende en onderling verbonden delen, en daarom ingewikkeld en niet gemakkelijk te begrijpen of te voltooien is. De complexiteit van een taak wordt vaak beschreven op basis van taakkenmerken – maar de ervaring en kenmerken van een individu dat een taak uitvoert, zijn ook relevant."
"digcomp.glossary.computable_and_non-computable_problems.label","Glossary term","Computable and non-computable problems","Berekenbare en niet-berekenbare problemen"
"digcomp.glossary.computable_and_non-computable_problems.definition","Glossary definition for Computable and non-computable problems","The distinction between computable and non-computable problems relates to computability, i.e. the ability to determine if a specific problem can be solved by a computer, considering factors such as resources, machines, and solvability within practical limits. If a problem can be solved by a computer, it is computable. If it cannot, it is non-computable.","Het onderscheid tussen berekenbare en niet-berekenbare problemen heeft betrekking op berekenbaarheid, d.w.z. het vermogen om te bepalen of een specifiek probleem kan worden opgelost door een computer, rekening houdend met factoren zoals middelen, machines en oplosbaarheid binnen praktische grenzen. Als een probleem door een computer kan worden opgelost, is het berekenbaar. Als dat niet het geval is, is het niet-berekenbaar."
"digcomp.glossary.computational_thinking.label","Glossary term","Computational thinking","Computational thinking"
"digcomp.glossary.computational_thinking.definition","Glossary definition for Computational thinking","Computational thinking in DigComp 3.0 is consistent with the definition of the International Computer and Information Literacy Study (ICILS): an individual’s ability to recognise aspects of real-world problems which are appropriate for computational formulation and to evaluate and develop algorithmic solutions to those problems so that the solutions could be operationalised with a computer. In DigComp 3.0, computational thinking is considered a transversal competence, i.e. it relates to and facilitates many of the other DigComp competences such as problem solving, information and data, and content creation.","Computational thinking in DigComp 3.0 is in overeenstemming met de definitie van de International Computer and Information Literacy Study (ICILS): het vermogen van een individu om aspecten van echte wereldproblemen te herkennen die geschikt zijn voor computationele formulering en om algoritmische oplossingen voor die problemen te evalueren en te ontwikkelen, zodat de oplossingen met een computer operationeel kunnen worden gemaakt. In DigComp 3.0 wordt Computational thinking beschouwd als een transversale competentie, d.w.z. het heeft betrekking op en vergemakkelijkt veel van de andere DigComp-competenties zoals probleemoplossing, informatie en data, en contentcreatie."
"digcomp.glossary.computer_program.label","Glossary term","Computer program","Computerprogramma"
"digcomp.glossary.computer_program.definition","Glossary definition for Computer program","A sequence or set of instructions in a programming language for a computer to execute.","Een reeks of set instructies in een programmeertaal die door een computer moet worden uitgevoerd."
"digcomp.glossary.constructive_alignment.label","Glossary term","Constructive alignment","Constructive alignment"
"digcomp.glossary.constructive_alignment.definition","Glossary definition for Constructive alignment","An interactive system in which teaching and learning activities and assessment tasks are both aligned to intended learning outcomes and reinforce each other..","Een interactief systeem waarin onderwijs- en leeractiviteiten en beoordelingsopdrachten allebei zijn afgestemd op de beoogde leerresultaten en elkaar versterken."
"digcomp.glossary.copyright.label","Glossary term","Copyright","Auteursrecht"
"digcomp.glossary.copyright.definition","Glossary definition for Copyright","A type of intellectual property that protects original works of authorship as soon as an author fixes the work in a tangible form of expression.","Een type intellectueel eigendom dat originele werken van auteurschap beschermt zodra een auteur het werk in een tastbare uitdrukkingsvorm vastlegt."
"digcomp.glossary.creative_commons_licences.label","Glossary term","Creative Commons (licences)","Creative Commons (licenties)"
"digcomp.glossary.creative_commons_licences.definition","Glossary definition for Creative Commons (licences)","A standardised way to grant permission to use creative work under copyright law. Depending on what the creative work is and how it is to be shared, the creator, whether an individual or an organisation, can choose from among six kinds of Creative Commons licences.","Een gestandaardiseerde manier om toestemming te geven voor het gebruik van creatief werk onder het auteursrecht. Afhankelijk van wat het creatieve werk is en hoe het moet worden gedeeld, kan de maker, of dit nu een individu of een organisatie is, kiezen uit zes soorten Creative Commons-licenties."
"digcomp.glossary.cyber_threat.label","Glossary term","Cyber threat","Cyberdreiging"
"digcomp.glossary.cyber_threat.definition","Glossary definition for Cyber threat","Any malicious activity aimed at compromising the integrity, confidentiality or availability of digital systems, networks or data.","Elke kwaadaardige activiteit gericht op het in gevaar brengen van de integriteit, vertrouwelijkheid of beschikbaarheid van digitale systemen, netwerken of gegevens."
"digcomp.glossary.cyberattack.label","Glossary term","Cyberattack","Cyberaanval"
"digcomp.glossary.cyberattack.definition","Glossary definition for Cyberattack","An unauthorised action against computer infrastructure that compromises the confidentiality, integrity, or availability of its content.","Een ongeautoriseerde actie tegen computerinfrastructuur die de vertrouwelijkheid, integriteit of beschikbaarheid van de inhoud ervan in gevaar brengt."
"digcomp.glossary.cyberbullying.label","Glossary term","Cyberbullying","Cyberpesten"
"digcomp.glossary.cyberbullying.definition","Glossary definition for Cyberbullying","Currently (2025), the most widely-cited definition of cyberbullying is an aggressive, intentional act carried out by a group or individual, using electronic forms of contact, repeatedly and over time against a victim who cannot easily defend him or herself.","Momenteel (2025) is de meest geciteerde definitie van cyberpesten een agressieve, opzettelijke handeling uitgevoerd door een groep of individu, met gebruikmaking van elektronische vormen van contact, herhaaldelijk en gedurende langere tijd tegen een slachtoffer dat zich niet gemakkelijk kan verdedigen."
"digcomp.glossary.cybercrime.label","Glossary term","Cybercrime","Cybercriminaliteit"
"digcomp.glossary.cybercrime.definition","Glossary definition for Cybercrime","The use of digital technologies to perpetrate or facilitate a crime. Cybercrime can be categorised as cyber-dependent (one which may only be committed using digital technologies), or cyber-enabled (one which is facilitated by digital technologies).","Het gebruik van digitale technologieën om een misdrijf te plegen of te vergemakkelijken. Cybercriminaliteit kan worden gecategoriseerd als cyber-afhankelijk (een misdrijf dat alleen kan worden gepleegd met behulp van digitale technologieën) of cyber-ondersteund (een misdrijf dat wordt gefaciliteerd door digitale technologieën)."
"digcomp.glossary.cybersecurity.label","Glossary term","Cybersecurity","Cybersecurity"
"digcomp.glossary.cybersecurity.definition","Glossary definition for Cybersecurity","Actions, processes and tools designed to protect a person, organisation, or country and their digital devices against crime or attacks carried out using the internet.","Acties, processen en hulpmiddelen die ontworpen zijn om een persoon, organisatie of land en hun digitale apparaten te beschermen tegen misdaad of aanvallen die via het internet worden uitgevoerd."
"digcomp.glossary.data.label","Glossary term","Data","Data"
"digcomp.glossary.data.definition","Glossary definition for Data","Any digital representation of acts, facts or information and any compilation of such acts, facts or information, including in the form of sound, visual or audiovisual recording.","Elke digitale representatie van handelingen, feiten of informatie en elke compilatie van dergelijke handelingen, feiten of informatie, inclusief in de vorm van geluid, visuele of audiovisuele opname."
"digcomp.glossary.data_analysis.label","Glossary term","Data analysis","Data-analyse"
"digcomp.glossary.data_analysis.definition","Glossary definition for Data analysis","The systematic process of collecting, cleaning, transforming and interpreting data to discover useful information, identify patterns and support decision-making.","Het systematische proces van het verzamelen, opschonen, transformeren en interpreteren van gegevens om nuttige informatie te ontdekken, patronen te identificeren en besluitvorming te ondersteunen."
"digcomp.glossary.data_backup.label","Glossary term","Data backup","Back-up"
"digcomp.glossary.data_backup.definition","Glossary definition for Data backup","The process of duplicating data and storing it in a separate location to ensure availability in the event of data loss due to corruption or disaster.","Het proces van het dupliceren van gegevens en het opslaan ervan op een aparte locatie om de beschikbaarheid te garanderen in het geval van gegevensverlies door corruptie of calamiteiten."
"digcomp.glossary.data_centre.label","Glossary term","Data centre","Datacentrum"
"digcomp.glossary.data_centre.definition","Glossary definition for Data centre","A physical room, building or facility that houses digital technological infrastructure for building, running and delivering applications and services. It also stores and manages the data associated with those applications and services. A data centre usually includes backup components and infrastructure for power supply, data communication connections, environmental controls (e.g., air conditioning, fire suppression), and various security devices.","Een fysieke ruimte, gebouw of faciliteit die digitale technologische infrastructuur huisvest voor het bouwen, draaien en leveren van applicaties en diensten. Het slaat ook de gegevens op die bij die applicaties en diensten horen en beheert deze. Een datacentrum omvat gewoonlijk back-upcomponenten en infrastructuur voor stroomvoorziening, datacommunicatieverbindingen, omgevingscontroles (bijv. airconditioning, brandbestrijding) en diverse beveiligingsapparaten."
"digcomp.glossary.data_collection_tool.label","Glossary term","Data collection tool","Tool voor gegevensverzameling"
"digcomp.glossary.data_collection_tool.definition","Glossary definition for Data collection tool","Digital technologies that are designed to perform data collection – the gathering and measurement of information on targeted variables within an established system.","Digitale technologieën die zijn ontworpen om gegevensverzameling uit te voeren – het vergaren en meten van informatie over gerichte variabelen binnen een vastgesteld systeem."
"digcomp.glossary.data_processing.label","Glossary term","Data processing","Gegevensverwerking"
"digcomp.glossary.data_processing.definition","Glossary definition for Data processing","The collection and manipulation of digital data to produce meaningful information.","Het verzamelen en manipuleren van digitale gegevens om betekenisvolle informatie te produceren."
"digcomp.glossary.data_protection.label","Glossary term","Data protection","Gegevensbescherming"
"digcomp.glossary.data_protection.definition","Glossary definition for Data protection","Refers to both the security and privacy of an individual’s personal information (such as name, data of birth, home address, email address or phone number) and personal property (such as emails, files, and accounts owned or managed by the individual). Data protection can also refer to data management and storage practices that protect data from loss, theft, or corruption.","Verwijst naar zowel de beveiliging als de privacy van de persoonlijke informatie van een individu (zoals naam, geboortedatum, huisadres, e-mailadres of telefoonnummer) en persoonlijke eigendommen (zoals e-mails, bestanden en accounts die eigendom zijn van of beheerd worden door het individu). Gegevensbescherming kan ook verwijzen naar praktijken voor gegevensbeheer en -opslag die gegevens beschermen tegen verlies, diefstal of corruptie."
"digcomp.glossary.data_removal_rights.label","Glossary term","Data removal rights","Recht op gegevenswissing"
