"location","context","source","target"
"digcomp.outcome.LO1.1.01","Learning outcome LO1.1.01","Acknowledge the benefits of using different digital search tools and methods, depending on one’s purpose.","De voordelen erkennen van het gebruik van verschillende digitale zoekmachines en -methoden, afhankelijk van iemands doel."
"digcomp.outcome.LO1.1.02","Learning outcome LO1.1.02","Recognise that the results or outputs of a search depend on the digital search tool used and the way that an individual specifies the search.","Herkennen dat de resultaten of outputs van een zoekopdracht afhankelijk zijn van de gebruikte digitale zoekmachine en de manier waarop een individu de zoekopdracht specificeert."
"digcomp.outcome.LO1.1.03","Learning outcome LO1.1.03","Recognise that search results or outputs can contain information that may not be relevant.","Herkennen dat zoekresultaten of outputs informatie kunnen bevatten die mogelijk niet relevant is."
"digcomp.outcome.LO1.1.04","Learning outcome LO1.1.04","Identify the main features of commonly-used AI-driven and traditional digital search tools.","De belangrijkste kenmerken herkennen van veelgebruikte AI-gestuurde en traditionele digitale zoekmachines."
"digcomp.outcome.LO1.1.05","Learning outcome LO1.1.05","Use digital search tools to implement basic information searches.","Digitale zoekmachines gebruiken om eenvoudige informatiezoekopdrachten uit te voeren."
"digcomp.outcome.LO1.1.06","Learning outcome LO1.1.06","Use digital search tools to refine or update existing results or outputs.","Digitale zoekmachines gebruiken om bestaande resultaten of outputs te verfijnen of bij te werken."
"digcomp.outcome.LO1.1.07","Learning outcome LO1.1.07","Purposefully explore new digital search tools and search functionalities.","Doelgericht nieuwe digitale zoekmachines en zoekfunctionaliteiten verkennen."
"digcomp.outcome.LO1.1.08","Learning outcome LO1.1.08","Identify strategies that provide more relevant digital search results or outputs.","Strategieën herkennen die relevantere digitale zoekresultaten of outputs opleveren."
"digcomp.outcome.LO1.1.09","Learning outcome LO1.1.09","Distinguish between more and less relevant digital search results or outputs.","Onderscheid maken tussen meer en minder relevante digitale zoekresultaten of outputs."
"digcomp.outcome.LO1.1.10","Learning outcome LO1.1.10","Select appropriate digital search tools based on information needs.","Passende digitale zoekmachines selecteren op basis van informatiebehoeften."
"digcomp.outcome.LO1.1.11","Learning outcome LO1.1.11","Translate information needs into effective digital search queries, commands or statements.","Informatiebehoeften vertalen naar effectieve digitale zoekopdrachten, commando's of verklaringen."
"digcomp.outcome.LO1.1.12","Learning outcome LO1.1.12","Apply appropriate strategies to refine or filter existing digital results or outputs.","Passende strategieën toepassen om bestaande digitale resultaten of outputs te verfijnen of te filteren."
"digcomp.outcome.LO1.1.13","Learning outcome LO1.1.13","Continually explore functions and features of familiar and novel digital search tools.","Voortdurend functies en kenmerken van bekende en nieuwe digitale zoekmachines verkennen."
"digcomp.outcome.LO1.1.14","Learning outcome LO1.1.14","Prioritise deepening one's existing search capabilities.","Prioriteit geven aan het verdiepen van de eigen bestaande zoekvaardigheden."
"digcomp.outcome.LO1.1.15","Learning outcome LO1.1.15","Combine a variety of digital search tools and strategies to address complex information needs.","Een verscheidenheid aan digitale zoekmachines en strategieën combineren om aan complexe informatiebehoeften te voldoen."
"digcomp.outcome.LO1.1.16","Learning outcome LO1.1.16","Assist others in developing their digital search capabilities.","Anderen helpen bij het ontwikkelen van hun digitale zoekvaardigheden."
"digcomp.outcome.LO1.1.17","Learning outcome LO1.1.17","Stay informed about developments in digital search technologies.","Op de hoogte blijven van ontwikkelingen in digitale zoektechnologie."
"digcomp.outcome.LO1.1.18","Learning outcome LO1.1.18","Assess and evaluate developments in digital search technologies in a given context to support decision-making.","Ontwikkelingen in digitale zoektechnologie in een bepaalde context beoordelen en evalueren ter ondersteuning van besluitvorming."
"digcomp.outcome.LO1.1.19","Learning outcome LO1.1.19","Combine a variety of digital search tools and strategies to address highly complex or specialised information needs.","Een verscheidenheid aan digitale zoekmachines en strategieën combineren om aan zeer complexe of gespecialiseerde informatiebehoeften te voldoen."
"digcomp.outcome.LO1.1.20","Learning outcome LO1.1.20","Assist others to implement and refine complex or specialised searches in digital environments.","Anderen helpen bij het uitvoeren en verfijnen van complexe of gespecialiseerde zoekopdrachten in digitale omgevingen."
"digcomp.outcome.LO1.1.21","Learning outcome LO1.1.21","Contribute to improvements in or new solutions for complex or specialised searches in digital environments.","Bijdragen aan verbeteringen in of nieuwe oplossingen voor complexe of gespecialiseerde zoekopdrachten in digitale omgevingen."
"digcomp.outcome.LO1.2.01","Learning outcome LO1.2.01","Acknowledge the benefits of a cautious approach in interpreting information and content in digital environments.","De voordelen inzien van een voorzichtige aanpak bij het interpreteren van informatie en content in digitale omgevingen."
"digcomp.outcome.LO1.2.02","Learning outcome LO1.2.02","Distinguish between the source of digital content, and digital content itself.","Onderscheid maken tussen de bron van digitale content en de digitale content zelf."
"digcomp.outcome.LO1.2.03","Learning outcome LO1.2.03","Recognise that some digital information sources and systems may not be trustworthy.","Herkennen dat sommige digitale informatiebronnen en systemen mogelijk niet betrouwbaar zijn."
"digcomp.outcome.LO1.2.04","Learning outcome LO1.2.04","Recognise that it can be difficult to distinguish between information and content generated by humans and AI systems.","Herkennen dat het moeilijk kan zijn om onderscheid te maken tussen informatie en content gegenereerd door mensen en door AI-systemen."
"digcomp.outcome.LO1.2.05","Learning outcome LO1.2.05","Recognise examples of misinformation, disinformation, and sources of bias.","Voorbeelden herkennen van misinformatie, desinformatie en bronnen van vooroordelen (bias)."
"digcomp.outcome.LO1.2.06","Learning outcome LO1.2.06","Recognise examples of social media influencing and filter bubbles.","Voorbeelden herkennen van beïnvloeding via sociale media en filterbubbels."
"digcomp.outcome.LO1.2.07","Learning outcome LO1.2.07","Make a basic assessment of the reliability and credibility of digital information sources and content.","Een basisbeoordeling maken van de betrouwbaarheid en geloofwaardigheid van digitale informatiebronnen en content."
"digcomp.outcome.LO1.2.08","Learning outcome LO1.2.08","Acknowledge the benefits of questioning the credibility and reliability of information and content and their sources in digital environments.","Het nut onderkennen van het kritisch beoordelen van de geloofwaardigheid en betrouwbaarheid van informatie, content en hun bronnen in digitale omgevingen."
"digcomp.outcome.LO1.2.09","Learning outcome LO1.2.09","Recognise potential consequences of misinformation and disinformation in digital environments for oneself and others.","Mogelijke gevolgen herkennen van misinformatie en desinformatie in digitale omgevingen voor zichzelf en anderen."
"digcomp.outcome.LO1.2.10","Learning outcome LO1.2.10","Describe methods to identify the source of information found online.","Methoden beschrijven om de bron van online gevonden informatie te herkennen."
"digcomp.outcome.LO1.2.11","Learning outcome LO1.2.11","Define the purposes of fact-checking services.","De doelen van factcheck-diensten definiëren."
"digcomp.outcome.LO1.2.12","Learning outcome LO1.2.12","Recognise the concepts and purposes of pre-bunking and de-bunking in digital contexts.","De concepten en doelen van pre-bunking en de-bunking herkennen in digitale contexten."
"digcomp.outcome.LO1.2.13","Learning outcome LO1.2.13","Recognise that the data used to train AI systems and how they are trained affects the reliability of the information they provide.","Herkenen dat de data die ingezet wordt voor het trainen van AI-systemen en de wijze waarop zij getraind worden van invloed zijn op de betrouwbaarheid van de informatie die zij leveren."
"digcomp.outcome.LO1.2.14","Learning outcome LO1.2.14","Recognise that some digital technologies, such as AI systems, may function like a 'black box', making it difficult to explain why or how an output has been produced.","Herkennen dat sommige digitale technologieën, zoals AI-systemen, kunnen functioneren als een 'black box', waardoor het moeilijk is om uit te leggen waarom of hoe een output is geproduceerd."
"digcomp.outcome.LO1.2.15","Learning outcome LO1.2.15","Identify examples of human (cognitive, affective) bias and AI system (data, training) bias in relation to the generation and interpretation of information.","Voorbeelden herkennen van menselijke (cognitieve, affectieve) vooroordelen en AI-systeem (data, training) vooroordelen in relatie tot het genereren en interpreteren van informatie."
"digcomp.outcome.LO1.2.16","Learning outcome LO1.2.16","Recognise that AI systems may produce output which is inaccurate, even if it may seem plausible.","Herkennen dat AI-systemen output kunnen produceren die onnauwkeurig is, zelfs als deze aannemelijk lijkt."
"digcomp.outcome.LO1.2.17","Learning outcome LO1.2.17","Recognise that the humans using an AI system are responsible for checking the quality and validity of information and content generated.","Herkennen dat de mensen die een AI-systeem gebruiken verantwoordelijk zijn voor het controleren van de kwaliteit en geldigheid van de gegenereerde informatie en content."
"digcomp.outcome.LO1.2.18","Learning outcome LO1.2.18","Recognise the presence of user-directing strategies in digital environments such as clickbait, nudging and gamification.","De aanwezigheid herkennen van gebruikerssturende strategieën in digitale omgevingen, zoals clickbait, nudging en gamificatie."
"digcomp.outcome.LO1.2.19","Learning outcome LO1.2.19","Apply pre-bunking and de-bunking strategies to discard or discredit unreliable sources and content in digital environments.","Pre-bunking en de-bunking strategieën toepassen om onbetrouwbare bronnen en content in digitale omgevingen te verwerpen of in diskrediet te brengen."
"digcomp.outcome.LO1.2.20","Learning outcome LO1.2.20","Respond effectively to user-directing strategies in digital environments such as clickbait, nudging and gamification.","Effectief reageren op gebruikerssturende strategieën in digitale omgevingen, zoals clickbait, nudging en gamificatie."
"digcomp.outcome.LO1.2.21","Learning outcome LO1.2.21","Critically assess the reliability of sources, information and content in digital environments, considering the role of AI systems, personalisation effects, and commercial or other interests.","Kritisch de betrouwbaarheid beoordelen van bronnen, informatie en content in digitale omgevingen, rekening houdend met de rol van AI-systemen, personalisatie-effecten en commerciële of andere belangen."
"digcomp.outcome.LO1.2.22","Learning outcome LO1.2.22","Continually scrutinise how AI systems, biases, and various interests shape generation, presentation and interpretation of information and content in digital environments.","Voortdurend onderzoeken hoe AI-systemen, vooroordelen en verschillende belangen de generatie, presentatie en interpretatie van informatie en content in digitale omgevingen vormgeven."
"digcomp.outcome.LO1.2.23","Learning outcome LO1.2.23","Describe personal, social and political consequences of misinformation, disinformation, sources of bias, social media influencing and filter bubbles.","Persoonlijke, sociale en politieke gevolgen beschrijven van misinformatie, desinformatie, bronnen van vooroordelen, beïnvloeding via sociale media en filterbubbels."
"digcomp.outcome.LO1.2.24","Learning outcome LO1.2.24","Describe features of trustworthy digital technologies, such as AI systems.","Kenmerken van betrouwbare digitale technologie, zoals AI-systemen, beschrijven."
"digcomp.outcome.LO1.2.25","Learning outcome LO1.2.25","Describe methods that can be used to identify deep-fakes.","Methoden beschrijven die gebruikt kunnen worden om deepfakes te herkennen."
"digcomp.outcome.LO1.2.26","Learning outcome LO1.2.26","Thoroughly assess the reliability and accuracy of a diversity of sources, information and content in digital environments, considering a range of potential influencing factors.","Grondig de betrouwbaarheid en nauwkeurigheid beoordelen van een diversiteit aan bronnen, informatie en content in digitale omgevingen, rekening houdend met een reeks mogelijke beïnvloedende factoren."
"digcomp.outcome.LO1.2.27","Learning outcome LO1.2.27","Support others to develop their capabilities to assess the reliability of sources, information and content in digital environments.","Anderen ondersteunen bij het ontwikkelen van hun vaardigheden om de betrouwbaarheid van bronnen, informatie en content in digitale omgevingen te beoordelen."
"digcomp.outcome.LO1.2.28","Learning outcome LO1.2.28","Promote and support the development of resilience to misinformation and disinformation in digital environments among individuals and/or groups.","Het ontwikkelen van veerkracht tegen misinformatie en desinformatie in digitale omgevingen onder individuen en/of groepen bevorderen en ondersteunen."
"digcomp.outcome.LO1.2.29","Learning outcome LO1.2.29","Systematically assess and evaluate sources, information and content in digital environments to support complex decision-making.","Systematisch bronnen, informatie en content in digitale omgevingen beoordelen en evalueren ter ondersteuning van complexe besluitvorming."
"digcomp.outcome.LO1.2.30","Learning outcome LO1.2.30","Help others to develop capabilities to critically evaluate information and content in digital environments.","Anderen helpen bij het ontwikkelen van vaardigheden om informatie en content in digitale omgevingen kritisch te evalueren."
"digcomp.outcome.LO1.2.31","Learning outcome LO1.2.31","Lead or contribute to initiatives that support accurate interpretation of data, information, and content in digital environments.","Leiding geven aan of bijdragen aan initiatieven die een nauwkeurige interpretatie van data, informatie en content in digitale omgevingen ondersteunen."
"digcomp.outcome.LO1.3.01","Learning outcome LO1.3.01","Acknowledge the benefits of managing and organising information in digital environments.","De voordelen inzien van het beheren en organiseren van informatie in digitale omgevingen."
