"location","context","source","target"
"digcomp.statement.CS1.1.01","Competence statement CS1.1.01","Acknowledge the benefits of using different digital search tools and methods, depending on one’s purpose.","De voordelen inzien van het gebruik van verschillende digitale zoekhulpmiddelen en -methoden, afhankelijk van het doel."
"digcomp.statement.CS1.1.02","Competence statement CS1.1.02","Identify the main features of commonly-used AI-driven and traditional search tools.","De belangrijkste kenmerken identificeren van veelgebruikte AI-gestuurde en traditionele zoekhulpmiddelen."
"digcomp.statement.CS1.1.03","Competence statement CS1.1.03","Recognise that digital search results or outputs can contain information that may not be relevant, and that they depend on the digital search tool used and the way that an individual specifies the search.","Herkennen dat digitale zoekresultaten of outputs informatie kunnen bevatten die mogelijk niet relevant is, en dat deze afhankelijk zijn van het gebruikte zoekhulpmiddel en de wijze waarop de zoekopdracht is gespecificeerd."
"digcomp.statement.CS1.1.04","Competence statement CS1.1.04","Use digital search tools to implement, refine and update basic information searches.","Digitale zoekhulpmiddelen gebruiken om eenvoudige informatiezoekopdrachten uit te voeren, te verfijnen en bij te werken."
"digcomp.statement.CS1.1.05","Competence statement CS1.1.05","Purposefully explore new digital search tools and strategies.","Doelgericht nieuwe digitale zoekhulpmiddelen en strategieën verkennen."
"digcomp.statement.CS1.1.06","Competence statement CS1.1.06","Select appropriate digital search tools based on information needs.","Passende digitale zoekhulpmiddelen selecteren op basis van informatiebehoeften."
"digcomp.statement.CS1.1.07","Competence statement CS1.1.07","Distinguish between more and less relevant digital search results or outputs.","Onderscheid maken tussen meer en minder relevante digitale zoekresultaten of outputs."
"digcomp.statement.CS1.1.08","Competence statement CS1.1.08","Translate information needs into effective digital search queries, commands or statements, and apply appropriate strategies to refine or filter results.","Informatiebehoeften vertalen naar effectieve digitale zoekopdrachten, commando's of verklaringen, en passende strategieën toepassen om resultaten te verfijnen of te filteren."
"digcomp.statement.CS1.1.09","Competence statement CS1.1.09","Continually explore functions and features of familiar and novel digital search tools to deepen capabilities.","Voortdurend functies en kenmerken van bekende en nieuwe digitale zoekhulpmiddelen verkennen om vaardigheden te verdiepen."
"digcomp.statement.CS1.1.10","Competence statement CS1.1.10","Combine a variety of digital search tools and strategies to address complex information needs.","Een verscheidenheid aan digitale zoekhulpmiddelen en strategieën combineren om aan complexe informatiebehoeften te voldoen."
