"location","context","source","target"
"doc.glossary_of_terms_and_definitions.table_cell.36aee4372b7b","glossary_of_terms_and_definitions|table_cell","Cambridge Dictionary: Intellectu- al property","Cambridge Dictionary: Intellectueel eigendom"
"doc.glossary_of_terms_and_definitions.table_cell.939ffee029a1","glossary_of_terms_and_definitions|table_cell","JSON","JSON"
"doc.glossary_of_terms_and_definitions.table_cell.7d443e92db4d","glossary_of_terms_and_definitions|table_cell","JavaScript Object Notation, a widely-used, lightweight data-interchange format.","JavaScript Object Notation, een veelgebruikt, lichtgewicht formaat voor gegevensuitwisseling."
"doc.glossary_of_terms_and_definitions.table_cell.47222242b7f4","glossary_of_terms_and_definitions|table_cell","Colantoni et al. (2021)","Colantoni et al. (2021)"
"doc.glossary_of_terms_and_definitions.table_cell.cc469360f2d5","glossary_of_terms_and_definitions|table_cell","Learning outcomes","Leerresultaten"
"doc.glossary_of_terms_and_definitions.table_cell.3999f5d6ed0c","glossary_of_terms_and_definitions|table_cell","Statements of what an individual knows, understands and is able to do on completion of a learning process, which are defined in terms of knowledge, skills and attitudes. DigComp 3.0 includes intended learning outcomes, i.e. what an individual is expected to know, understand or is able to do – rather than achieved learning outcomes – the demonstration of what an individual knows, understands or is able to do. Section 2.5 of the DigComp 3.0 framework provides more detail.","Verklaringen van wat een individu weet, begrijpt en kan na voltooiing van een leerproces, gedefinieerd in termen van kennis, vaardigheden en houding. DigComp 3.0 bevat beoogde leerresultaten, d.w.z. wat een individu geacht wordt te weten, te begrijpen of te kunnen – in plaats van behaalde leerresultaten – het aantonen van wat een individu weet, begrijpt of kan. Sectie 2.5 van het DigComp 3.0-kader biedt meer details."
"doc.glossary_of_terms_and_definitions.table_cell.b01669cc58a9","glossary_of_terms_and_definitions|table_cell","Adapted from Cedefop (2014) and Cedefop (2022)","Aangepast op basis van Cedefop (2014) en Cedefop (2022)"
"doc.glossary_of_terms_and_definitions.table_cell.d44f2fa914b3","glossary_of_terms_and_definitions|table_cell","Licence","Licentie"
"doc.glossary_of_terms_and_definitions.table_cell.fecf37a7f06b","glossary_of_terms_and_definitions|table_cell","Grants permission to use a particular software, application, content or service. A licence in digital contexts can take several forms: It may be a serial number to be entered during the installation process, an activation code used to unlock an online service, an electronic file associated with a user account, or a licence key. The main purpose of a licence is to establish the legal rights and restrictions regarding the use of the software, application, content or service. Digital licences may also offer benefits such as easy access to updates and upgrades and facilitating the management of licenses on multiple devices.","Verleent toestemming om een bepaalde software, applicatie, inhoud of dienst te gebruiken. Een licentie in een digitale context kan verschillende vormen aannemen: het kan een serienummer zijn dat tijdens het installatieproces moet worden ingevoerd, een activeringscode om een online dienst te ontgrendelen, een elektronisch bestand gekoppeld aan een gebruikersaccount, of een licentiesleutel. Het hoofddoel van een licentie is het vaststellen van de wettelijke rechten en beperkingen met betrekking tot het gebruik van de software, applicatie, inhoud of dienst. Digitale licenties kunnen ook voordelen bieden zoals gemakkelijke toegang tot updates en upgrades en het vergemakkelijken van het beheer van licenties op meerdere apparaten."
"doc.glossary_of_terms_and_definitions.table_cell.eee1f717aac9","glossary_of_terms_and_definitions|table_cell","Adapted from Onlinemarketin- gagency.com","Aangepast op basis van Onlinemarketingagency.com"
"doc.glossary_of_terms_and_definitions.table_cell.5be56b3af468","glossary_of_terms_and_definitions|table_cell","Linked open data","Linked open data"
"doc.glossary_of_terms_and_definitions.table_cell.e33553dd92f3","glossary_of_terms_and_definitions|table_cell","Freely accessible and re-usable data that is in a format that can be interlinked with other data.","Vrij toegankelijke en herbruikbare gegevens in een formaat dat gekoppeld kan worden aan andere gegevens."
"doc.glossary_of_terms_and_definitions.table_cell.f5d902d555b2","glossary_of_terms_and_definitions|table_cell","European Commission, 2022","Europese Commissie, 2022"
"doc.glossary_of_terms_and_definitions.table_cell.e41fca2db330.9","glossary_of_terms_and_definitions|table_cell","Term","Term"
"doc.glossary_of_terms_and_definitions.table_cell.a38b183a73f4.9","glossary_of_terms_and_definitions|table_cell","Explanation","Uitleg"
"doc.glossary_of_terms_and_definitions.table_cell.47e6738d3091.9","glossary_of_terms_and_definitions|table_cell","Source(s)","Bron(nen)"
"doc.glossary_of_terms_and_definitions.table_cell.3cfc2c769241","glossary_of_terms_and_definitions|table_cell","Machine learning","Machine learning"
"doc.glossary_of_terms_and_definitions.table_cell.4417b58a96a6","glossary_of_terms_and_definitions|table_cell","A field of artificial intelligence concerned with the development and study of statistical algorithms that can learn from data and generalise to unseen data, and thus perform tasks without explicit instructions. Advances in deep learning, a sub-discipline of machine learning, have allowed neural networks, a class of statistical algorithms, to surpass many previous machine-learning approaches. Machine learning has many applications, including natural language processing, computer vision, speech recognition, email filtering, agricultural management systems, and diagnostic medicine.","Een vakgebied binnen de kunstmatige intelligentie dat zich bezighoudt met de ontwikkeling en studie van statistische algoritmen die kunnen leren van gegevens en kunnen generaliseren naar onbekende gegevens, en zo taken kunnen uitvoeren zonder expliciete instructies. Vooruitgang in deep learning, een subdiscipline van machine learning, heeft ervoor gezorgd dat neurale netwerken, een klasse van statistische algoritmen, veel eerdere machine learning-benaderingen hebben overtroffen. Machine learning heeft veel toepassingen, waaronder natuurlijke taalverwerking, computervisie, spraakherkenning, e-mailfiltering, landbouwbeheersystemen en diagnostische geneeskunde."
"doc.glossary_of_terms_and_definitions.table_cell.45b11d6b672c","glossary_of_terms_and_definitions|table_cell","Adapted from IBM: Machine learning and Wikipedia: Machine learning","Aangepast op basis van IBM: Machine learning en Wikipedia: Machine learning"
"doc.glossary_of_terms_and_definitions.table_cell.55042cb2405a","glossary_of_terms_and_definitions|table_cell","Malware","Malware"
"doc.glossary_of_terms_and_definitions.table_cell.8e6eb2705e5c","glossary_of_terms_and_definitions|table_cell","Malicious software designed to infiltrate systems, cause damage, disrupt services and/or steal data.","Kwaadaardige software ontworpen om systemen te infiltreren, schade te veroorzaken, diensten te verstoren en/of gegevens te stelen."
"doc.glossary_of_terms_and_definitions.table_cell.0cc873fece02.1","glossary_of_terms_and_definitions|table_cell","European Parliament: Cyber threats in the EU – facts and figures (2025)","Europees Parlement: Cyberdreigingen in de EU – feiten en cijfers (2025)"
"doc.glossary_of_terms_and_definitions.table_cell.d415b7f06727","glossary_of_terms_and_definitions|table_cell","Misinformation","Misinformatie"
"doc.glossary_of_terms_and_definitions.table_cell.24ffbf250b7d","glossary_of_terms_and_definitions|table_cell","False information regardless of intent to deceive or mislead people.","Onjuiste informatie, ongeacht de intentie om mensen te bedriegen of te misleiden."
"doc.glossary_of_terms_and_definitions.table_cell.3283dfb7416d.2","glossary_of_terms_and_definitions|table_cell","DigComp 2.2 (2022)","DigComp 2.2 (2022)"
"doc.glossary_of_terms_and_definitions.table_cell.c0555c68c529","glossary_of_terms_and_definitions|table_cell","Multi-factor authentication","Meervoudige verificatie (Multi-factor authentication)"
"doc.glossary_of_terms_and_definitions.table_cell.b4b024dd82f9","glossary_of_terms_and_definitions|table_cell","A digital authentication method in which a user is granted access to a website or application only after successfully presenting two or more distinct types of evidence (or factors) to an authentication mechanism. The purpose of multi-factor authentication is to protect personal data—which may include personal identification or financial assets—from being accessed by an unauthorised third party that may have been able to discover, for example, a single password. Authentication can be made on the basis of something physical the user possesses (e.g. a bank card, a phone), knows (e.g. a PIN), or has as part of their physical identity (biometric identification).","Een digitale verificatiemethode waarbij een gebruiker pas toegang krijgt tot een website of applicatie na het succesvol overleggen van twee of meer verschillende soorten bewijs (of factoren) aan een verificatiemechanisme. Het doel van meervoudige verificatie is om persoonsgegevens – waaronder persoonlijke identificatie of financiële activa – te beschermen tegen toegang door een onbevoegde derde partij die bijvoorbeeld een enkel wachtwoord heeft weten te achterhalen. Verificatie kan plaatsvinden op basis van iets fysieks dat de gebruiker bezit (bijv. een bankpas, een telefoon), weet (bijv. een pincode), of heeft als onderdeel van de fysieke identiteit (biometrische identificatie)."
"doc.glossary_of_terms_and_definitions.table_cell.b3d678eeb4f1","glossary_of_terms_and_definitions|table_cell","Adapted from Wikipedia: Mul- ti-factor authentication","Aangepast op basis van Wikipedia: Multi-factor authentication"
"doc.glossary_of_terms_and_definitions.table_cell.db2645801dbf","glossary_of_terms_and_definitions|table_cell","National Qualifications Framework (NQF)","Nationaal kwalificatiekader (NQF)"
"doc.glossary_of_terms_and_definitions.table_cell.ac9ea9b167e8","glossary_of_terms_and_definitions|table_cell","Instrument for developing, classifying and issuing qualifications in a country according to a set of criteria for specified levels of learning achieved, which integrates and coordinates national qualifications subsystems and improves transparency, access, progression and quality of qualifications.","Instrument voor het ontwikkelen, classificeren en uitgeven van kwalificaties in een land volgens een reeks criteria voor gespecificeerde niveaus van behaalde leerresultaten, dat nationale kwalificatiesubsystemen integreert en coördineert en de transparantie, toegang, progressie en kwaliteit van kwalificaties verbetert."
"doc.glossary_of_terms_and_definitions.table_cell.aa068841ae39.3","glossary_of_terms_and_definitions|table_cell","Adapted from Cedefop Terminol- ogy of European education and training policy","Aangepast op basis van Cedefop Terminology of European education and training policy"
"doc.glossary_of_terms_and_definitions.table_cell.1f2a9aab489f","glossary_of_terms_and_definitions|table_cell","Nudging","Nudging (Sturen)"
