"location","context","source","target"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.paragraph.5968e56e5300","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|paragraph","Table A3: Relationship between the four proficiency levels of DigComp 3.0 and the eight levels of DigComp 2.2, along with an alternative 6-level mapping.","Tabel A3: Verband tussen de vier beheersingsniveaus van DigComp 3.0 en de acht niveaus van DigComp 2.2, samen met een alternatieve koppeling op 6 niveaus."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.paragraph.99ebed31e9fa","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|paragraph","Proficiency level","Beheersingsniveau"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.paragraph.756f25a0eda8","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|paragraph","6-level suggest- ed map- ping","Voorgestelde koppeling op 6 niveaus"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.paragraph.0b8e408509d5","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|paragraph","Short description Purpose","Korte beschrijving Doel"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.64afb3adf2f5","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Basic","Basis"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.9f01952a0000","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","1","1"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.9c8173bc7685","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","A1","A1"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.bdbac847e64a","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","At basic level, individuals remember and implement simple tasks with guidance as needed.","Op basisniveau onthouden en voeren individuen eenvoudige taken uit, met begeleiding waar nodig."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.e882eaadc399","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","At the bottom of the Basic level, individuals require guidance to recognise and implement many or most simple tasks.","Aan de onderkant van het basisniveau hebben individuen begeleiding nodig om veel of de meeste eenvoudige taken te herkennen en uit te voeren."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.f258d4872cdf","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","To support personal, learning and/ or working goals and participate in society.","Ter ondersteuning van persoonlijke, leer- en/of werkdoelen en om deel te nemen aan de samenleving."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.64afb3adf2f5.1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Basic","Basis"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.fc127bad3928","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","2","2"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.d8b5e2bd87b5","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","A2","A2"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.bdbac847e64a.1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","At basic level, individuals remember and implement simple tasks with guidance as needed.","Op basisniveau onthouden en voeren individuen eenvoudige taken uit, met begeleiding waar nodig."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.2800cd62b519","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","At the top of the Basic level, individuals remember and implement simple tasks with little or no guidance.","Aan de bovenkant van het basisniveau onthouden en voeren individuen eenvoudige taken uit met weinig of geen begeleiding."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.f258d4872cdf.1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","To support personal, learning and/ or working goals and participate in society.","Ter ondersteuning van persoonlijke, leer- en/of werkdoelen en om deel te nemen aan de samenleving."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.302f641cad83","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Intermediate","Gemiddeld"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.020d6bb0c4f1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","3","3"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.de1ae757f9dd","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","B1","B1"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.f250899c73a5","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","At intermediate level, individuals identify and implement well- defined tasks and solve well- defined problems autonomously.","Op gemiddeld niveau identificeren en voeren individuen welomschreven taken uit en lossen ze welomschreven problemen autonoom op."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.f583565ea4b4","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","At the bottom of the Intermediate level, individuals show some autonomy to identify and implement well-defined tasks and solve well-defined problems.","Aan de onderkant van het gemiddelde niveau tonen individuen enige autonomie om welomschreven taken te identificeren en uit te voeren en welomschreven problemen op te lossen."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.7057458e7901","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","To support personal, learning and/ or working goals and participate autonomously in society.","Ter ondersteuning van persoonlijke, leer- en/of werkdoelen en om autonoom deel te nemen aan de samenleving."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.302f641cad83.1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Intermediate","Gemiddeld"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.1c0dfcb62371","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","4","4"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.95b8b87beb2b","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","B2","B2"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.f250899c73a5.1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","At intermediate level, individuals identify and implement well- defined tasks and solve well- defined problems autonomously.","Op gemiddeld niveau identificeren en voeren individuen welomschreven taken uit en lossen ze welomschreven problemen autonoom op."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.e27383e1acd3","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","At the top of the Intermediate level, individuals confidently and autonomously identify and implement well-defined tasks and solve well- defined problems.","Aan de bovenkant van het gemiddelde niveau identificeren en voeren individuen met vertrouwen en autonoom welomschreven taken uit en lossen ze welomschreven problemen op."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.7057458e7901.1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","To support personal, learning and/ or working goals and participate autonomously in society.","Ter ondersteuning van persoonlijke, leer- en/of werkdoelen en om autonoom deel te nemen aan de samenleving."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.4cdddbf4edc8","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Advanced","Gevorderd"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.00d015d2d9e2","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","5","5"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.547be28f704b","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","C1","C1"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.9a3359025684","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","At advanced level, individuals assess and apply solutions to a variety of complex tasks autonomously and adapt to a variety of contexts to evaluate and execute tasks appropriately, guiding others if and as required.","Op gevorderd niveau beoordelen en passen individuen autonoom oplossingen toe voor een verscheidenheid aan complexe taken en passen ze zich aan verschillende contexten aan om taken op passende wijze te evalueren en uit te voeren, waarbij ze anderen begeleiden indien nodig."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.5be83889fb58","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","At the bottom of the Advanced level, individuals assess and apply solutions to a variety of well-defined tasks and engage with some complex tasks. They identify situations where approaches may need to be adapted, and guide others on well-defined tasks if and as required.","Aan de onderkant van het gevorderde niveau beoordelen en passen individuen oplossingen toe voor verschillende welomschreven taken en houden ze zich bezig met sommige complexe taken. Ze identificeren situaties waarin benaderingen moeten worden aangepast, en begeleiden anderen bij welomschreven taken indien nodig."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.bef24600c0cf","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","To support personal, learning and/or working goals, participate effectively in society, and manage or support others in achieving their goals.","Ter ondersteuning van persoonlijke, leer- en/of werkdoelen, om effectief deel te nemen aan de samenleving en om anderen te beheren of te ondersteunen bij het bereiken van hun doelen."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.4cdddbf4edc8.1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Advanced","Gevorderd"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.e6fe5242b16c","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","6","6"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.547be28f704b.1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","C1","C1"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.9a3359025684.1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","At advanced level, individuals assess and apply solutions to a variety of complex tasks autonomously and adapt to a variety of contexts to evaluate and execute tasks appropriately, guiding others if and as required.","Op gevorderd niveau beoordelen en passen individuen autonoom oplossingen toe voor een verscheidenheid aan complexe taken en passen ze zich aan verschillende contexten aan om taken op passende wijze te evalueren en uit te voeren, waarbij ze anderen begeleiden indien nodig."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.ce57c36d231b","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","At the top of the Advanced level, individuals work confidently on a variety of complex tasks, respond effectively to challenges in changing contexts, and lead or manage complex projects, guiding others on complex tasks if and as required.","Aan de bovenkant van het gevorderde niveau werken individuen met vertrouwen aan een verscheidenheid aan complexe taken, reageren ze effectief op uitdagingen in veranderende contexten en leiden of beheren ze complexe projecten, waarbij ze anderen begeleiden bij complexe taken indien nodig."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.bef24600c0cf.1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","To support personal, learning and/or working goals, participate effectively in society, and manage or support others in achieving their goals.","Ter ondersteuning van persoonlijke, leer- en/of werkdoelen, om effectief deel te nemen aan de samenleving en om anderen te beheren of te ondersteunen bij het bereiken van hun doelen."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.25bbd3c1c93f","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.7e77674fa11e","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","7","7"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.a25a7a0e4943","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","C2","C2"
