"location","context","source","target"
"doc.annexes.a2.3_learning_outcomes.table_cell.2963b034a2a0","annexes.a2.3_learning_outcomes|table_cell","Help others to develop capabilities to critically evaluate information and content in digital environments.","Anderen helpen bij het ontwikkelen van vaardigheden om informatie en inhoud in digitale omgevingen kritisch te evalueren."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.7","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer geavanceerd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.18","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.38","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.4180b4c994cb","annexes.a2.3_learning_outcomes|table_cell","LO1.2.31","LO1.2.31"
"doc.annexes.a2.3_learning_outcomes.table_cell.c85f6ab4949e","annexes.a2.3_learning_outcomes|table_cell","Lead or contribute to initiatives that support accurate interpretation of data, information, and content in digital environments.","Leiding geven aan of bijdragen aan initiatieven die een nauwkeurige interpretatie van gegevens, informatie en inhoud in digitale omgevingen ondersteunen."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.8","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer geavanceerd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.19","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.39","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.10c0af55247f","annexes.a2.3_learning_outcomes|paragraph","COMPETENCE AREA 1: INFORMATION SEARCH, EVALUATION AND MANAGEMENT - Competence 1.3 Managing information","COMPETENTIEGEBIED 1: INFORMATIE ZOEKEN, EVALUEREN EN BEHEREN - Competentie 1.3 Informatie beheren"
"doc.annexes.a2.3_learning_outcomes.paragraph.dddde90bda26","annexes.a2.3_learning_outcomes|paragraph","Back to Section 3","Terug naar Sectie 3"
"doc.annexes.a2.3_learning_outcomes.table_cell.7f105e626849.2","annexes.a2.3_learning_outcomes|table_cell","ID","ID"
"doc.annexes.a2.3_learning_outcomes.table_cell.6b3e8b9eee21.2","annexes.a2.3_learning_outcomes|table_cell","Learning Outcome","Leerresultaat"
"doc.annexes.a2.3_learning_outcomes.table_cell.58455a4223da.2","annexes.a2.3_learning_outcomes|table_cell","Proficiency level","Beheersingsniveau"
"doc.annexes.a2.3_learning_outcomes.table_cell.7749ae779807.2","annexes.a2.3_learning_outcomes|table_cell","Knowledge, skill or attitude","Kennis, vaardigheid of attitude"
"doc.annexes.a2.3_learning_outcomes.table_cell.37f41acb6b6e.2","annexes.a2.3_learning_outcomes|table_cell","AI label","AI-label"
"doc.annexes.a2.3_learning_outcomes.table_cell.be308790b7ac","annexes.a2.3_learning_outcomes|table_cell","LO1.3.01","LO1.3.01"
"doc.annexes.a2.3_learning_outcomes.table_cell.75017fc09703","annexes.a2.3_learning_outcomes|table_cell","Acknowledge the benefits of managing and organising information in digital environments.","De voordelen erkennen van het beheren en organiseren van informatie in digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.13","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.9","annexes.a2.3_learning_outcomes|table_cell","Attitude","Attitude"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.1","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.88db1d768e41","annexes.a2.3_learning_outcomes|table_cell","LO1.3.02","LO1.3.02"
"doc.annexes.a2.3_learning_outcomes.table_cell.797b82b6467b","annexes.a2.3_learning_outcomes|table_cell","Recognise functions of data removal, restoration and backup.","Functies van gegevensverwijdering, -herstel en -back-up herkennen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.14","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.23","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.2","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.8553fc16085e","annexes.a2.3_learning_outcomes|table_cell","LO1.3.03","LO1.3.03"
"doc.annexes.a2.3_learning_outcomes.table_cell.b821a3a30490","annexes.a2.3_learning_outcomes|table_cell","Identify main properties of digital files and folders.","De belangrijkste eigenschappen van digitale bestanden en mappen identificeren."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.15","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.24","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.3","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.986be3b9d725","annexes.a2.3_learning_outcomes|table_cell","LO1.3.04","LO1.3.04"
"doc.annexes.a2.3_learning_outcomes.table_cell.761620c6441b","annexes.a2.3_learning_outcomes|table_cell","Recognise, in general terms, the concept of data.","In algemene termen het concept 'gegevens' (data) herkennen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.16","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.25","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.4","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.d64fa5d72022","annexes.a2.3_learning_outcomes|table_cell","LO1.3.05","LO1.3.05"
"doc.annexes.a2.3_learning_outcomes.table_cell.71914966f5ca","annexes.a2.3_learning_outcomes|table_cell","Download, save, retrieve, move and delete digital files.","Digitale bestanden downloaden, opslaan, ophalen, verplaatsen en verwijderen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.17","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.20","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.5","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.8cb42f55a05f","annexes.a2.3_learning_outcomes|table_cell","LO1.3.06","LO1.3.06"
"doc.annexes.a2.3_learning_outcomes.table_cell.605199788a89","annexes.a2.3_learning_outcomes|table_cell","Organise and format simple data in a structured digital environment, such as in spreadsheets.","Eenvoudige gegevens organiseren en opmaken in een gestructureerde digitale omgeving, zoals in spreadsheets."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.18","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.21","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.6","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.17896811d116","annexes.a2.3_learning_outcomes|table_cell","LO1.3.07","LO1.3.07"
"doc.annexes.a2.3_learning_outcomes.table_cell.f665fa3e2fe5","annexes.a2.3_learning_outcomes|table_cell","Update one’s contacts, such as on phone, email or social media.","Eigen contacten bijwerken, bijvoorbeeld op de telefoon, via e-mail of sociale media."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.19","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.22","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.7","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.5ef92a13e3f8","annexes.a2.3_learning_outcomes|table_cell","LO1.3.08","LO1.3.08"
"doc.annexes.a2.3_learning_outcomes.table_cell.6b56f718658f","annexes.a2.3_learning_outcomes|table_cell","Acknowledge the importance of careful and ethical management of data and information in digital environments.","Het belang erkennen van zorgvuldig en ethisch beheer van gegevens en informatie in digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.20","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.10","annexes.a2.3_learning_outcomes|table_cell","Attitude","Attitude"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.40","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.cbbbd9e29dfe","annexes.a2.3_learning_outcomes|table_cell","LO1.3.09","LO1.3.09"
"doc.annexes.a2.3_learning_outcomes.table_cell.95e254a56c7b","annexes.a2.3_learning_outcomes|table_cell","Recognise that digital files and folders can be (re-)named and organised in a manner desired by the user.","Herkennen dat digitale bestanden en mappen (her)noemd en georganiseerd kunnen worden op een door de gebruiker gewenste manier."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.21","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.26","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.8","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.a0a1622a2af8","annexes.a2.3_learning_outcomes|table_cell","LO1.3.10","LO1.3.10"
"doc.annexes.a2.3_learning_outcomes.table_cell.c2eec5210a3b","annexes.a2.3_learning_outcomes|table_cell","Recognise that digital files can be saved to different locations (devices, external storage and cloud services) and transferred from one location to another.","Herkennen dat digitale bestanden op verschillende locaties kunnen worden opgeslagen (apparaten, externe opslag en clouddiensten) en van de ene naar de andere locatie kunnen worden overgebracht."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.22","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.27","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_options.table_cell.7c28f1540ccb.9","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.9d84f095123e","annexes.a2.3_learning_outcomes|table_cell","LO1.3.11","LO1.3.11"
"doc.annexes.a2.3_learning_outcomes.table_cell.8aa56491ec8c","annexes.a2.3_learning_outcomes|table_cell","Identify common data collection tools and their main functions.","Gangbare hulpmiddelen voor gegevensverzameling en hun belangrijkste functies identificeren."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.23","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
