"location","context","source","target"
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.105","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.64","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.204","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.9b0d9a984a12","annexes.a2.3_learning_outcomes|table_cell","LO5.2.09","LO5.2.09"
"doc.annexes.a2.3_learning_outcomes.table_cell.cf421a697880","annexes.a2.3_learning_outcomes|table_cell","Adjust features of one's digital environment to suit one's own and others' needs and preferences.","Kenmerken van de eigen digitale omgeving aanpassen aan de behoeften en voorkeuren van zichzelf en anderen."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.106","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.136","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.205","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.f9f68ead7f5a","annexes.a2.3_learning_outcomes|table_cell","LO5.2.10","LO5.2.10"
"doc.annexes.a2.3_learning_outcomes.table_cell.7cae1ab40bf9","annexes.a2.3_learning_concept|table_cell","Make informed use of digital assistance tools to support one's own and others' needs, with awareness of their benefits and limitations.","Geïnformeerd gebruikmaken van digitale hulpmiddelen om de eigen behoeften en die van anderen te ondersteunen, met bewustzijn van de voordelen en beperkingen ervan."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.107","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.137","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.206","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.257fdefc3eb2","annexes.a2.3_learning_outcomes|table_cell","LO5.2.11","LO5.2.11"
"doc.annexes.a2.3_learning_outcomes.table_cell.71cbcf783ae2","annexes.a2.3_learning_outcomes|table_cell","Prioritise an ongoing assessment of how digital environmental configurations, digital assistance tools and/or assistive technologies can meet the needs of oneself and others.","Prioriteit geven aan een voortdurende beoordeling van hoe digitale omgevingsconfiguraties, digitale hulpmiddelen en/of ondersteunende technologieën kunnen voldoen aan de behoeften van zichzelf en anderen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.82","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.65","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.207","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.9a3c8b038f10","annexes.a2.3_learning_outcomes|table_cell","LO5.2.12","LO5.2.12"
"doc.annexes.a2.3_learning_outcomes.table_cell.cf421a697880.1","annexes.a2.3_learning_outcomes|table_cell","Adjust features of one's digital environment to suit one's own and others' needs and preferences.","Kenmerken van de eigen digitale omgeving aanpassen aan de behoeften en voorkeuren van zichzelf en anderen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.83","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.138","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.208","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.bdf37bc6a5f2","annexes.a2.3_learning_outcomes|table_cell","LO5.3.13","LO5.3.13"
