"location","context","source","target"
"doc.colophon.heading.h1.p0000.a7cee14dea","section=colophon;kind=heading;level=1;p=0;hash=a7cee14dea","Colophon","Colofon"
"doc.colophon.para.p0002-p0007.310736b8ce","section=colophon;kind=paragraph_block;span=p2-p7;hash=310736b8ce","This document is a publication by the Joint Research Centre (JRC), the European Commission’s science and knowledge service. It aims to provide evidence-based scientific support to the European policymaking process. The contents of this publication do not necessarily reflect the position or opinion of the European Commission. Neither the European Commission nor any person acting on behalf of the Commission is responsible for the use that might be made of this publication. For information on the methodology and quality underlying the data used in this publication for which the source is neither Eurostat nor other Commission services, users should contact the referenced source. The designations employed and the presentation of material on the maps do not imply the expression of any opinion whatsoever on the part of the European Union concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries.

The Joint Research Centre: EU Science Hub

https://joint-research-centre.ec.europa.eu

JRC144121 EUR 40491","Dit document is een publicatie van het Joint Research Centre (JRC), de wetenschaps- en kennisdienst van de Europese Commissie. Het heeft tot doel wetenschappelijke ondersteuning op basis van bewijs te bieden aan het Europese beleidsvormingsproces. De inhoud van deze publicatie weerspiegelt niet noodzakelijkerwijs het standpunt of de mening van de Europese Commissie. Noch de Europese Commissie noch iemand die namens de Commissie optreedt, is verantwoordelijk voor het gebruik dat van deze publicatie kan worden gemaakt. Voor informatie over de methodologie en de kwaliteit die ten grondslag liggen aan de Data die in deze publicatie worden gebruikt, waarvan de bron noch Eurostat noch andere diensten van de Commissie zijn, dienen gebruikers contact op te nemen met de genoemde bron. De aanduidingen die worden gehanteerd en de presentatie van materiaal op de kaarten impliceren op geen enkel wijze een mening van de Europese Unie over de juridische status van enig land, territorium, stad of gebied of van haar autoriteiten, of over de afbakening van haar grenzen.

Het Joint Research Centre: EU Science Hub

https://joint-research-centre.ec.europa.eu

JRC144121 EUR 40491"
"doc.colophon.table.t000.r000.c000.5b221e9c2a","section=colophon;kind=table_cell;t=0;r=0;c=0;part=1/1;hash=5b221e9c2a","Print","Print"
"doc.colophon.table.t000.r000.c001.0e3522465f","section=colophon;kind=table_cell;t=0;r=0;c=1;part=1/1;hash=0e3522465f","ISBN 978-92-68-34351-7","ISBN 978-92-68-34351-7"
"doc.colophon.table.t000.r000.c002.2b16d8591a","section=colophon;kind=table_cell;t=0;r=0;c=2;part=1/1;hash=2b16d8591a","ISSN 1018-5593","ISSN 1018-5593"
"doc.colophon.table.t000.r000.c003.266aab6f7d","section=colophon;kind=table_cell;t=0;r=0;c=3;part=1/1;hash=266aab6f7d","doi:10.2760/7379058","doi:10.2760/7379058"
"doc.colophon.table.t000.r000.c004.bae552f0de","section=colophon;kind=table_cell;t=0;r=0;c=4;part=1/1;hash=bae552f0de","KJ-01-25-521-EN-C","KJ-01-25-521-EN-C"
"doc.colophon.table.t000.r001.c000.d613d88cb2","section=colophon;kind=table_cell;t=0;r=1;c=0;part=1/1;hash=d613d88cb2","PDF","PDF"
"doc.colophon.table.t000.r001.c001.d17e67a174","section=colophon;kind=table_cell;t=0;r=1;c=1;part=1/1;hash=d17e67a174","ISBN 978-92-68-32677-0","ISBN 978-92-68-32677-0"
"doc.colophon.table.t000.r001.c002.54baff5a76","section=colophon;kind=table_cell;t=0;r=1;c=2;part=1/1;hash=54baff5a76","ISSN 1831-9424","ISSN 1831-9424"
"doc.colophon.table.t000.r001.c003.5d77750ca6","section=colophon;kind=table_cell;t=0;r=1;c=3;part=1/1;hash=5d77750ca6","doi:10.2760/0001149","doi:10.2760/0001149"
"doc.colophon.table.t000.r001.c004.c507938fa7","section=colophon;kind=table_cell;t=0;r=1;c=4;part=1/1;hash=c507938fa7","KJ-01-25-521-EN-N","KJ-01-25-521-EN-N"
